Address,Cookie,Times
"('127.0.0.1', 53456)",7013805,1
"('127.0.0.1', 53464)",3725320,1
"('127.0.0.1', 53824)",8156784,1
"('127.0.0.1', 53834)",3660024,1
"('127.0.0.1', 53840)",3179186,2
"('127.0.0.1', 56148)",9256199,1
"('127.0.0.1', 56370)",2521451,2
"('127.0.0.1', 50174)",4536322,1
"('127.0.0.1', 50182)",7110614,1
"('127.0.0.1', 50432)",2105445,1
"('127.0.0.1', 50456)",1477749,1
"('127.0.0.1', 50568)",3321359,1
"('127.0.0.1', 32924)",5533343,1
"('127.0.0.1', 32924)",9485219,1
"('127.0.0.1', 32924)",4324494,1
"('127.0.0.1', 32950)",7478128,1
"('127.0.0.1', 32950)",5546928,1
"('127.0.0.1', 32996)",5091609,1
"('127.0.0.1', 33024)",7354412,1
"('127.0.0.1', 33078)",3263876,1
"('127.0.0.1', 33078)",4190723,1
"('127.0.0.1', 33090)",9696483,1
"('127.0.0.1', 33094)",1279597,1
"('127.0.0.1', 33124)",6382788,1
"('127.0.0.1', 33130)",6671556,2
"('127.0.0.1', 33194)",1005304,1
"('127.0.0.1', 33202)",3474936,1
"('127.0.0.1', 33202)",5515199,1
"('127.0.0.1', 33202)",6094788,1
"('127.0.0.1', 33202)",2903346,1
"('127.0.0.1', 33202)",7575697,1
"('127.0.0.1', 33202)",6621706,1
"('127.0.0.1', 40296)",3167180,1
"('127.0.0.1', 40308)",4028695,1
"('127.0.0.1', 40314)",5703762,1
"('127.0.0.1', 40320)",7988062,1
"('127.0.0.1', 40324)",8432136,1
"('127.0.0.1', 40350)",2680281,1
"('127.0.0.1', 40354)",2862539,1
"('127.0.0.1', 40356)",1123092,1
"('127.0.0.1', 40358)",5699327,1
"('127.0.0.1', 40360)",4923360,1
"('127.0.0.1', 40362)",1139799,1
"('127.0.0.1', 40364)",4740303,1
"('127.0.0.1', 40376)",3300352,1
"('127.0.0.1', 40380)",2436435,1
"('127.0.0.1', 40382)",2069624,1
"('127.0.0.1', 40402)",7648748,1
"('127.0.0.1', 40422)",6817120,1
"('127.0.0.1', 40424)",3828855,1
"('127.0.0.1', 40426)",8291137,1
"('127.0.0.1', 40442)",8261652,1
"('127.0.0.1', 40450)",2189172,1
"('127.0.0.1', 40456)",4646583,1
"('127.0.0.1', 40460)",1510424,1
"('127.0.0.1', 40492)",6651299,1
"('127.0.0.1', 40498)",1519331,1
"('127.0.0.1', 40500)",4770210,1
"('127.0.0.1', 40502)",1451838,1
"('127.0.0.1', 40506)",2408230,1
"('127.0.0.1', 40508)",9722276,1
"('127.0.0.1', 40510)",8915564,1
"('127.0.0.1', 40518)",7096315,1
"('127.0.0.1', 40522)",1387832,1
"('127.0.0.1', 40524)",4694480,1
"('127.0.0.1', 40542)",9884465,1
"('127.0.0.1', 40554)",2582260,1
"('127.0.0.1', 40560)",7764353,1
"('127.0.0.1', 40562)",2313875,1
"('127.0.0.1', 40574)",9462918,1
"('127.0.0.1', 40580)",2456271,1
"('127.0.0.1', 40586)",7326264,1
"('127.0.0.1', 40590)",4907974,1
"('127.0.0.1', 40618)",9631496,1
"('127.0.0.1', 40622)",2745409,1
"('127.0.0.1', 40624)",6961845,1
"('127.0.0.1', 40626)",1875580,1
"('127.0.0.1', 40628)",1131998,1
"('127.0.0.1', 40630)",6810890,1
"('127.0.0.1', 40632)",4974747,1
"('127.0.0.1', 40642)",9481682,1
"('127.0.0.1', 40646)",1063910,1
"('127.0.0.1', 40648)",2288929,1
"('127.0.0.1', 40668)",4130070,1
"('127.0.0.1', 40682)",6300342,1
"('127.0.0.1', 40686)",6420502,1
"('127.0.0.1', 40900)",3428352,1
"('127.0.0.1', 40942)",9464270,1
"('127.0.0.1', 40946)",6886661,1
"('127.0.0.1', 40948)",2528487,1
"('127.0.0.1', 40950)",8392935,1
"('127.0.0.1', 40952)",9649646,1
"('127.0.0.1', 40956)",8072855,1
"('127.0.0.1', 40958)",9068025,1
"('127.0.0.1', 40990)",9720905,1
"('127.0.0.1', 40998)",8938727,1
"('127.0.0.1', 41010)",1003362,1
"('127.0.0.1', 41024)",8786771,1
"('127.0.0.1', 41032)",5930614,1
"('127.0.0.1', 41036)",6240887,1
"('127.0.0.1', 41040)",6317498,1
"('127.0.0.1', 41066)",8736966,1
"('127.0.0.1', 41072)",2156243,1
"('127.0.0.1', 41074)",3176743,1
"('127.0.0.1', 41076)",6028118,1
"('127.0.0.1', 41078)",7795798,1
"('127.0.0.1', 41080)",6538735,1
"('127.0.0.1', 41082)",4402632,1
"('127.0.0.1', 41092)",4908406,1
"('127.0.0.1', 41096)",3821919,1
"('127.0.0.1', 41098)",6067830,1
"('127.0.0.1', 41118)",6222977,1
"('127.0.0.1', 41130)",4780950,1
"('127.0.0.1', 41142)",2661061,1
"('127.0.0.1', 41144)",2981324,4
"('127.0.0.1', 41154)",9287495,1
"('127.0.0.1', 41164)",1444937,1
"('127.0.0.1', 41166)",8214035,1
"('127.0.0.1', 41172)",3236162,1
"('127.0.0.1', 41176)",5812555,1
"('127.0.0.1', 41180)",7401721,1
"('127.0.0.1', 41206)",3827797,1
"('127.0.0.1', 41210)",5983079,1
"('127.0.0.1', 41212)",1416486,1
"('127.0.0.1', 41214)",5488386,1
"('127.0.0.1', 41216)",3618921,1
"('127.0.0.1', 41218)",6853328,1
"('127.0.0.1', 41220)",6424236,1
"('127.0.0.1', 41228)",4042655,1
"('127.0.0.1', 41232)",4646056,1
"('127.0.0.1', 41234)",1506188,1
"('127.0.0.1', 41254)",4672988,1
"('127.0.0.1', 41264)",7720790,1
"('127.0.0.1', 41266)",1344304,1
"('127.0.0.1', 41274)",8743698,1
"('127.0.0.1', 41276)",1962287,1
"('127.0.0.1', 41286)",4033354,1
"('127.0.0.1', 41288)",5217488,1
"('127.0.0.1', 41294)",5671590,1
"('127.0.0.1', 41300)",1941294,1
"('127.0.0.1', 41304)",1783855,1
"('127.0.0.1', 41330)",5969906,1
"('127.0.0.1', 41334)",2756014,1
"('127.0.0.1', 41336)",3955560,1
"('127.0.0.1', 41338)",8555750,1
"('127.0.0.1', 41340)",5150174,1
"('127.0.0.1', 41342)",4434379,1
"('127.0.0.1', 41344)",8578594,1
"('127.0.0.1', 41352)",4462013,1
"('127.0.0.1', 41356)",5282748,1
"('127.0.0.1', 41358)",2165466,1
"('127.0.0.1', 41376)",7802651,1
"('127.0.0.1', 41382)",1006883,1
"('127.0.0.1', 41386)",9099487,1
"('127.0.0.1', 41394)",2286831,1
"('127.0.0.1', 41396)",4188912,1
"('127.0.0.1', 41406)",8577630,1
"('127.0.0.1', 41408)",8678532,1
"('127.0.0.1', 41414)",1137120,1
"('127.0.0.1', 41418)",2423540,1
"('127.0.0.1', 41422)",2170437,1
"('127.0.0.1', 41450)",7674777,1
"('127.0.0.1', 41454)",8378902,1
"('127.0.0.1', 41456)",5415316,1
"('127.0.0.1', 41458)",9150787,1
"('127.0.0.1', 41460)",4803525,1
"('127.0.0.1', 41462)",2864620,1
"('127.0.0.1', 41464)",6295745,1
"('127.0.0.1', 41474)",3836227,1
"('127.0.0.1', 41478)",2429294,1
"('127.0.0.1', 41480)",1115850,1
"('127.0.0.1', 41504)",7201244,1
"('127.0.0.1', 41514)",2796132,1
"('127.0.0.1', 41516)",7461163,1
"('127.0.0.1', 41522)",8483381,1
"('127.0.0.1', 41524)",5482116,1
"('127.0.0.1', 41534)",6565963,1
"('127.0.0.1', 41536)",5960796,1
"('127.0.0.1', 41542)",9402002,1
"('127.0.0.1', 41546)",7188638,1
"('127.0.0.1', 41550)",6882367,1
"('127.0.0.1', 41580)",8329544,1
"('127.0.0.1', 41584)",2274028,1
"('127.0.0.1', 41586)",2679451,1
"('127.0.0.1', 41588)",7135752,1
"('127.0.0.1', 41590)",8172857,1
"('127.0.0.1', 41592)",6036281,1
"('127.0.0.1', 41594)",8927503,1
"('127.0.0.1', 41602)",3326167,1
"('127.0.0.1', 41606)",4017176,1
"('127.0.0.1', 41610)",3994395,1
"('127.0.0.1', 41630)",5461716,1
"('127.0.0.1', 41636)",6363381,1
"('127.0.0.1', 41640)",2245000,1
"('127.0.0.1', 41648)",9526142,1
"('127.0.0.1', 41654)",1169985,1
"('127.0.0.1', 41666)",4704114,1
"('127.0.0.1', 41668)",5409678,1
"('127.0.0.1', 41676)",1426746,1
"('127.0.0.1', 41680)",5709141,1
"('127.0.0.1', 41684)",3762859,1
"('127.0.0.1', 41712)",2518839,1
"('127.0.0.1', 41716)",4019237,1
"('127.0.0.1', 41718)",8133977,1
"('127.0.0.1', 41720)",3211027,1
"('127.0.0.1', 41722)",9130528,1
"('127.0.0.1', 41724)",5356100,1
"('127.0.0.1', 41726)",7776223,1
"('127.0.0.1', 41736)",9067145,1
"('127.0.0.1', 41740)",4146493,1
"('127.0.0.1', 41742)",8450210,1
"('127.0.0.1', 41762)",3014464,1
"('127.0.0.1', 41768)",1871191,1
"('127.0.0.1', 41774)",2446284,1
"('127.0.0.1', 41780)",3680285,1
"('127.0.0.1', 41782)",5426825,1
"('127.0.0.1', 41792)",9122509,1
"('127.0.0.1', 41794)",9714403,1
"('127.0.0.1', 41800)",7442557,1
"('127.0.0.1', 41804)",1740039,1
"('127.0.0.1', 41808)",3199290,1
"('127.0.0.1', 41834)",8966136,1
"('127.0.0.1', 41838)",7080057,1
"('127.0.0.1', 41840)",8175247,1
"('127.0.0.1', 41842)",5377039,1
"('127.0.0.1', 41844)",5890875,1
"('127.0.0.1', 41846)",5198995,1
"('127.0.0.1', 41848)",5940303,1
"('127.0.0.1', 41856)",9054816,1
"('127.0.0.1', 41860)",8725372,1
"('127.0.0.1', 41862)",4240942,1
"('127.0.0.1', 41884)",8379038,1
"('127.0.0.1', 41890)",8163220,1
"('127.0.0.1', 41892)",2244103,1
"('127.0.0.1', 41902)",1200615,1
"('127.0.0.1', 35236)",6271666,1
"('127.0.0.1', 35246)",2747526,1
"('127.0.0.1', 35248)",5406101,1
"('127.0.0.1', 35254)",1184066,1
"('127.0.0.1', 35258)",4971388,1
"('127.0.0.1', 35262)",6973794,1
"('127.0.0.1', 35288)",3188930,1
"('127.0.0.1', 35292)",8029422,1
"('127.0.0.1', 35296)",7342231,1
"('127.0.0.1', 35298)",6811253,1
"('127.0.0.1', 35300)",3818928,1
"('127.0.0.1', 35302)",5970812,1
"('127.0.0.1', 35304)",3581297,1
"('127.0.0.1', 35312)",6367645,1
"('127.0.0.1', 35320)",9615090,1
"('127.0.0.1', 35322)",8287910,1
"('127.0.0.1', 35342)",3133364,1
"('127.0.0.1', 35352)",1884853,1
"('127.0.0.1', 35358)",9498873,1
